,local_tweets,hinc00,pop00,medhval00,neighbor_tweets,carcommuters_00,localpercentage,local_weekday_oddratio,local_nighttime_oddratio,pernwh00,local_daytime_oddratio,local_weekend_oddratio,phisp00,pnhblk00,weekday_oddratio,daytime_oddratio,Monday_oddratio,distToHighVisitorTract,Tuesday_oddratio,Wednesday_oddratio,nbrpercentage,neighbor_daytime_oddratio,neighbor_weekday_oddratio,Thursday_oddratio,distToMHI,nighttime_oddratio,Friday_oddratio,neighbor_weekend_oddratio,neighbor_nighttime_oddratio,distToHighTweetTract,Sunday_oddratio,Saturday_oddratio,weekend_oddratio,pasian00,pag25up00,other_weekend_oddratio,other_daytime_oddratio,percol00,other_nighttime_oddratio,other_weekday_oddratio,per_rent_00,visitorpercentage,TOD,popden00,unempden00,medrent00,userwith5_count,total_tweets,total_users,other_tweets
Logit_Raw,-4.2205919482571706e-05,-1.8085827519344773e-05,-1.606515803815704e-05,-1.1141341750720864e-05,-1.8310097437788449e-06,-2.43358258378947e-09,-1.7604271104501567e-09,-1.044465735776487e-09,-9.740787005621724e-10,-8.638791188521604e-10,-7.863484098879824e-10,-7.159613746736691e-10,-7.063364544665378e-10,-3.2866029882519485e-10,-3.1701521142642005e-10,-1.6229703356469329e-10,-1.1537913042630806e-10,-1.1060289866311344e-10,-9.126404477882102e-11,-7.654051725928296e-11,-7.154252926662504e-11,-6.696579792568763e-11,-6.19002005513152e-11,-3.383151896201764e-11,-2.5496768481783103e-11,-2.1643300670656483e-11,-1.9203808849124157e-11,-9.642328715308163e-12,-4.576731340934087e-12,-2.6392485099013863e-12,5.913068640109354e-11,9.314799963911606e-11,1.3307487719108128e-10,1.9488845355840093e-10,4.0004176085586913e-10,5.442165351081763e-10,6.719270395328895e-10,7.792567738964675e-10,7.972682636223044e-10,9.249787680470238e-10,1.089429485696576e-09,1.6505824714359975e-09,2.391056570162759e-09,4.4305635391801475e-09,1.2942946248786237e-08,2.4510535267410384e-07,3.1570947654278158e-06,1.0037948780234828e-05,2.0773108629223478e-05,5.407487800658528e-05
DT_Raw,0.0,0.0,0.0,0.3856199907040681,0.0,0.3340830356743907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13808085927107794,0.04529722799035327,0.0,0.0,0.0,0.0,0.0,0.07692083709335708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019998049266752815,0.0
RF_Raw,0.0,0.0,0.0,0.38561999070406816,0.0,0.33408303567439074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13808085927107797,0.045297227990353274,0.0,0.0,0.0,0.0,0.0,0.07692083709335709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019998049266752815,0.0,0.0
SVM_Raw,7.5904767434777485,-3.2228428836230485,-9.812660349437081,-16.7720107754997,-2.402299438214279,-3.747643894497903,0.6631755064233057,2.0116826628480546,-0.656322669568002,-3.3349552818365487,1.5243386354514485,-1.0420218345146592,1.435041119814604,2.8389286570434007,-2.1215670889068052,-1.3621922987684267,-2.026303480503124,-4.722748780757994,-1.2117983455557382,-1.3627803898930502,0.16357847771431336,-2.444263685130888,-2.427170576372929,0.17589221883991946,-2.3263765914101047,-1.356715704021803,-1.289367149008254,3.4849015354765576,2.943964498695872,3.4383672640036806,0.13868743140161877,-1.1896286961308247,-1.0673976610011113,1.4683386747512777,1.1574696090446897,0.4016694264555679,1.7110903144957028,-1.3173351905093276,0.8050049675982108,1.7855953420126973,3.2440334272993097,1.0401117135913247,0.2907138059291586,2.9283600070935023,4.058116323513365,0.5411433328807301,5.757598711044151,-0.18725734794213522,8.216370336058226,-10.204814562326591
Logit_Scaled,0.6098538011676072,-0.41070922864970305,-0.7516551549153832,-2.051113496127654,-0.2397918907199703,-1.0619999044657937,-0.039551582492588055,0.06219131555154892,-0.12818160568870243,-1.1174011155970054,0.07004665842405997,-0.17434061671660467,0.3371760066586461,0.9008967364751778,-0.17297539140699625,-0.10400469528845835,-0.18637115334029095,-0.5551968709540432,-0.08880195177213555,-0.16248330606585923,-0.042265433788668975,-0.3066632648122282,-0.2850224413595346,0.0005404865316254384,-0.36531047473870387,-0.10415389901767014,-0.10289930030524133,0.3002737996471103,0.23324732561112121,0.41174864724981364,-0.001411965677870947,-0.12348201616035344,-0.10958084535419435,0.19659205386270226,0.12156887169339328,0.06987227571946591,0.05688073706217445,-0.20145093199080877,0.053280979827764016,0.050891241644499804,0.8597848668665736,0.06162091050152872,0.11254440083985837,0.43103255282557373,0.18559745324541202,0.07919818943022765,0.4125314250129187,-0.07049894201791963,0.7420307916342027,-0.8337550962116421
DT_Scaled,0.0,0.0,0.0,0.3856199907040681,0.0,0.3340830356743907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13808085927107794,0.04529722799035327,0.0,0.0,0.0,0.0,0.0,0.07692083709335708,0.0,0.0,0.0,0.0,0.0,0.0,0.019998049266752815,0.0,0.0,0.0
RF_Scaled,0.0,0.0,0.0,0.38561999070406816,0.0,0.33408303567439074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13808085927107797,0.045297227990353274,0.0,0.0,0.0,0.0,0.0,0.07692083709335709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019998049266752815,0.0,0.0
SVM_Scaled,7.5904767434777485,-3.2228428836230485,-9.812660349437081,-16.7720107754997,-2.402299438214279,-3.747643894497903,0.6631755064233057,2.0116826628480546,-0.656322669568002,-3.3349552818365487,1.5243386354514485,-1.0420218345146592,1.435041119814604,2.8389286570434007,-2.1215670889068052,-1.3621922987684267,-2.026303480503124,-4.722748780757994,-1.2117983455557382,-1.3627803898930502,0.16357847771431336,-2.444263685130888,-2.427170576372929,0.17589221883991946,-2.3263765914101047,-1.356715704021803,-1.289367149008254,3.4849015354765576,2.943964498695872,3.4383672640036806,0.13868743140161877,-1.1896286961308247,-1.0673976610011113,1.4683386747512777,1.1574696090446897,0.4016694264555679,1.7110903144957028,-1.3173351905093276,0.8050049675982108,1.7855953420126973,3.2440334272993097,1.0401117135913247,0.2907138059291586,2.9283600070935023,4.058116323513365,0.5411433328807301,5.757598711044151,-0.18725734794213522,8.216370336058226,-10.204814562326591
Logit_Minmaxed,7.5904767434777485,-3.2228428836230485,-9.812660349437081,-16.7720107754997,-2.402299438214279,-3.747643894497903,0.6631755064233057,2.0116826628480546,-0.656322669568002,-3.3349552818365487,1.5243386354514485,-1.0420218345146592,1.435041119814604,2.8389286570434007,-2.1215670889068052,-1.3621922987684267,-2.026303480503124,-4.722748780757994,-1.2117983455557382,-1.3627803898930502,0.16357847771431336,-2.444263685130888,-2.427170576372929,0.17589221883991946,-2.3263765914101047,-1.356715704021803,-1.289367149008254,3.4849015354765576,2.943964498695872,3.4383672640036806,0.13868743140161877,-1.1896286961308247,-1.0673976610011113,1.4683386747512777,1.1574696090446897,0.4016694264555679,1.7110903144957028,-1.3173351905093276,0.8050049675982108,1.7855953420126973,3.2440334272993097,1.0401117135913247,0.2907138059291586,2.9283600070935023,4.058116323513365,0.5411433328807301,5.757598711044151,-0.18725734794213522,8.216370336058226,-10.204814562326591
DT_Minmaxed,0.0,0.0,0.0,0.38561999070406816,0.0,0.33408303567439074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13808085927107797,0.045297227990353274,0.0,0.0,0.0,0.0,0.0,0.07692083709335709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019998049266752815,0.0,0.0
RF_Minmaxed,0.0,0.0,0.0,0.38561999070406816,0.0,0.33408303567439074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13808085927107797,0.045297227990353274,0.0,0.0,0.0,0.0,0.0,0.07692083709335709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019998049266752815,0.0,0.0
SVM_Minmaxed,7.5904767434777485,-3.2228428836230485,-9.812660349437081,-16.7720107754997,-2.402299438214279,-3.747643894497903,0.6631755064233057,2.0116826628480546,-0.656322669568002,-3.3349552818365487,1.5243386354514485,-1.0420218345146592,1.435041119814604,2.8389286570434007,-2.1215670889068052,-1.3621922987684267,-2.026303480503124,-4.722748780757994,-1.2117983455557382,-1.3627803898930502,0.16357847771431336,-2.444263685130888,-2.427170576372929,0.17589221883991946,-2.3263765914101047,-1.356715704021803,-1.289367149008254,3.4849015354765576,2.943964498695872,3.4383672640036806,0.13868743140161877,-1.1896286961308247,-1.0673976610011113,1.4683386747512777,1.1574696090446897,0.4016694264555679,1.7110903144957028,-1.3173351905093276,0.8050049675982108,1.7855953420126973,3.2440334272993097,1.0401117135913247,0.2907138059291586,2.9283600070935023,4.058116323513365,0.5411433328807301,5.757598711044151,-0.18725734794213522,8.216370336058226,-10.204814562326591
