,pop00,local_tweets,hinc00,medrent00,neighbor_tweets,total_tweets,pernwh00,per_rent_00,other_weekend_oddratio,carcommuters_00,localpercentage,other_daytime_oddratio,weekday_oddratio,other_nighttime_oddratio,other_weekday_oddratio,pag25up00,daytime_oddratio,popden00,nighttime_oddratio,weekend_oddratio,local_weekday_oddratio,phisp00,local_nighttime_oddratio,pnhblk00,local_daytime_oddratio,local_weekend_oddratio,pasian00,visitorpercentage,Monday_oddratio,Tuesday_oddratio,Wednesday_oddratio,Thursday_oddratio,Friday_oddratio,Sunday_oddratio,Saturday_oddratio,nbrpercentage,neighbor_weekday_oddratio,neighbor_nighttime_oddratio,neighbor_daytime_oddratio,neighbor_weekend_oddratio,distToHighVisitorTract,distToHighTweetTract,distToMHI,percol00,TOD,unempden00,medhval00,userwith5_count,other_tweets,total_users
Logit_Raw,-4.388332620336328e-05,-2.559345987711074e-05,-1.8045967840521764e-05,-1.4461500636949607e-05,-7.197310800262215e-06,-4.421568815975467e-06,-1.2064654403383465e-08,-1.0274517819280211e-08,-8.370410627454765e-09,-8.134862521560515e-09,-8.053167915104275e-09,-7.797147019507084e-09,-7.574428126921478e-09,-7.451362408777251e-09,-6.878098800829639e-09,-6.813051479368304e-09,-6.483305606934981e-09,-6.136267650870461e-09,-5.85978560632466e-09,-4.768663086338092e-09,-4.6650473241578744e-09,-4.181466353267164e-09,-4.1699669953163045e-09,-4.146829027796246e-09,-3.883200919787952e-09,-3.388120590946471e-09,-3.2407322767649174e-09,-2.898407244729937e-09,-2.048577401042602e-09,-1.9002630918836674e-09,-1.8817219948126393e-09,-1.743865639182608e-09,-1.660219215342506e-09,-1.6534341918101634e-09,-1.4550096791853865e-09,-1.398527023720311e-09,-8.069560585669954e-10,-7.287727794608853e-10,-6.697542442594316e-10,-5.915709651533063e-10,-3.812970578331886e-10,-2.502194753477978e-10,-1.1013605581794624e-10,1.2065712624219558e-09,2.4052512162734668e-09,2.8047410702614562e-08,7.34362108078261e-07,4.2122246595906105e-06,2.836920186139618e-05,3.108218157172149e-05
DT_Raw,0.25111199267959144,0.0,0.0,0.3573022327576457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02779276601197833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07329960266895379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29049340588183065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Raw,0.25111199267959144,0.0,0.0,0.3573022327576457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02779276601197833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07329960266895379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29049340588183065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Raw,-6.285267202449735,2.661832176437426,5.817913845932831,-13.29365302066019,-0.48271567525603815,-2.322078074299781,-0.2785909335406158,-0.7534127874230367,-1.0243032243812862,-0.559788399241349,-4.11504382523221,-3.493178048177381,7.456467294407825,-4.479740747318942,-4.780429174694504,-0.33707079891901087,7.18642769023478,-0.13154094110760253,6.487169368776129,8.49279763411438,-3.21782705329652,0.8929113143712996,-2.894897226699586,0.3716241819092916,-2.834474787760589,-3.9442081356723393,-1.8941765311472492,-2.0489018923070175,2.9648373871344584,6.064302431396574,2.6144802016540205,2.4543526617946405,5.541157446218837,5.296824229948724,6.873827470699732,-2.5472791965878554,-0.5863069757417717,-1.564553559163004,-3.1252749308190904,-4.397318220722089,1.3246606542418184,-1.0069592537422647,-1.931903755365412,2.5796754757544904,0.5275559874755202,2.9370651844099798,1.4022308914835624,3.839390710215832,-8.2079367243756,9.986647104724177
Logit_Scaled,-0.48188821116961084,0.20847656905714987,0.7392702470235831,-1.9228133215603804,-0.0474145922067002,-0.20880044899307015,-0.09619329469433426,-0.19928487060155234,0.2517566104247071,-0.15815603617111662,-0.004030186592365778,0.05986866806064581,0.6278199618728217,-0.04560415238587768,-0.18187290819492968,-0.03713008785750635,0.60072595837289,-0.018391585880263423,0.5282016937727624,0.9052295088728917,0.1028112988836563,0.20447482587928933,0.015215865162796152,0.1185623111200004,-0.02565057258752786,-0.1481469323300989,-0.24501107073488052,0.0034827883283246475,0.3645312049179771,0.4734469563028403,0.39558948138495087,0.36276102598966015,0.4419311606014116,0.5713784015948751,0.6986490531698142,0.0023981696276637174,0.16414675329040485,0.08063557296435074,-0.07434049326629426,-0.22402505670101705,0.15725055857642253,-0.1224475109773711,-0.30346361175812414,0.39682169932942807,0.20459621880906542,0.13477833303364553,0.1709750212697229,0.2540526768520705,-0.6639194521336219,0.8993953170158224
DT_Scaled,0.25111199267959144,0.0,0.0,0.3573022327576457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07329960266895379,0.0,0.0,0.0,0.0,0.0,0.0,0.02779276601197833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29049340588183065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Scaled,0.25111199267959144,0.0,0.0,0.3573022327576457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02779276601197833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07329960266895379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29049340588183065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Scaled,-6.285267202449735,2.661832176437426,5.817913845932831,-13.29365302066019,-0.48271567525603815,-2.322078074299781,-0.2785909335406158,-0.7534127874230367,-1.0243032243812862,-0.559788399241349,-4.11504382523221,-3.493178048177381,7.456467294407825,-4.479740747318942,-4.780429174694504,-0.33707079891901087,7.18642769023478,-0.13154094110760253,6.487169368776129,8.49279763411438,-3.21782705329652,0.8929113143712996,-2.894897226699586,0.3716241819092916,-2.834474787760589,-3.9442081356723393,-1.8941765311472492,-2.0489018923070175,2.9648373871344584,6.064302431396574,2.6144802016540205,2.4543526617946405,5.541157446218837,5.296824229948724,6.873827470699732,-2.5472791965878554,-0.5863069757417717,-1.564553559163004,-3.1252749308190904,-4.397318220722089,1.3246606542418184,-1.0069592537422647,-1.931903755365412,2.5796754757544904,0.5275559874755202,2.9370651844099798,1.4022308914835624,3.839390710215832,-8.2079367243756,9.986647104724177
Logit_Minmaxed,-6.285267202449735,2.661832176437426,5.817913845932831,-13.29365302066019,-0.48271567525603815,-2.322078074299781,-0.2785909335406158,-0.7534127874230367,-1.0243032243812862,-0.559788399241349,-4.11504382523221,-3.493178048177381,7.456467294407825,-4.479740747318942,-4.780429174694504,-0.33707079891901087,7.18642769023478,-0.13154094110760253,6.487169368776129,8.49279763411438,-3.21782705329652,0.8929113143712996,-2.894897226699586,0.3716241819092916,-2.834474787760589,-3.9442081356723393,-1.8941765311472492,-2.0489018923070175,2.9648373871344584,6.064302431396574,2.6144802016540205,2.4543526617946405,5.541157446218837,5.296824229948724,6.873827470699732,-2.5472791965878554,-0.5863069757417717,-1.564553559163004,-3.1252749308190904,-4.397318220722089,1.3246606542418184,-1.0069592537422647,-1.931903755365412,2.5796754757544904,0.5275559874755202,2.9370651844099798,1.4022308914835624,3.839390710215832,-8.2079367243756,9.986647104724177
DT_Minmaxed,0.25111199267959144,0.0,0.0,0.3573022327576457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02779276601197833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07329960266895379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29049340588183065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Minmaxed,0.25111199267959144,0.0,0.0,0.3573022327576457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02779276601197833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07329960266895379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29049340588183065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Minmaxed,-6.285267202449735,2.661832176437426,5.817913845932831,-13.29365302066019,-0.48271567525603815,-2.322078074299781,-0.2785909335406158,-0.7534127874230367,-1.0243032243812862,-0.559788399241349,-4.11504382523221,-3.493178048177381,7.456467294407825,-4.479740747318942,-4.780429174694504,-0.33707079891901087,7.18642769023478,-0.13154094110760253,6.487169368776129,8.49279763411438,-3.21782705329652,0.8929113143712996,-2.894897226699586,0.3716241819092916,-2.834474787760589,-3.9442081356723393,-1.8941765311472492,-2.0489018923070175,2.9648373871344584,6.064302431396574,2.6144802016540205,2.4543526617946405,5.541157446218837,5.296824229948724,6.873827470699732,-2.5472791965878554,-0.5863069757417717,-1.564553559163004,-3.1252749308190904,-4.397318220722089,1.3246606542418184,-1.0069592537422647,-1.931903755365412,2.5796754757544904,0.5275559874755202,2.9370651844099798,1.4022308914835624,3.839390710215832,-8.2079367243756,9.986647104724177
